Symbol,Date,Open,High,Low,Close,Volume
TMICY.OB,02-Jul-2021,51.98,52.18,51.93,51.93,2400
TMMI.OB,02-Jul-2021,0.06,0.0635,0.06,0.0633,30000
TMOAY.OB,02-Jul-2021,4.18,4.18,4.18,4.18,500
TMRAF.OB,02-Jul-2021,56.82,56.82,56.82,56.82,500
TMRAY.OB,02-Jul-2021,56,56,55.05,55.05,1200
TMRC.OB,02-Jul-2021,2.02,2.04,1.9,2.04,127600
TMSH.OB,02-Jul-2021,0.009,0.009,0.009,0.009,177500
TMSNY.OB,02-Jul-2021,161.05,162.5,160,161.71,5300
TMTNF.OB,02-Jul-2021,88.13,88.13,88.13,88.13,100
TMVWY.OB,02-Jul-2021,18.27,18.44,18.27,18.37,24200
TMXN.OB,02-Jul-2021,0.0081,0.0088,0.0074,0.0084,5884000
TMXXF.OB,02-Jul-2021,106.06,106.06,106.06,106.06,300
TNABY.OB,02-Jul-2021,9.55,9.55,9.35,9.35,1400
TNBI.OB,02-Jul-2021,1.1805,1.32,1.1,1.21,3500
TNEN.OB,02-Jul-2021,0.0072,0.0075,0.0072,0.0075,26100
TNEYF.OB,02-Jul-2021,2.1001,2.1356,2.0993,2.1261,21700
TNGL.OB,02-Jul-2021,0.15,0.1615,0.15,0.1615,47900
TNGZF.OB,02-Jul-2021,0.054,0.054,0.054,0.054,300
TNHDF.OB,02-Jul-2021,0.3,0.3,0.3,0.3,1000
TNLX.OB,02-Jul-2021,0.372,0.382,0.3027,0.3493,9300
TNMD.OB,02-Jul-2021,0.43,0.43,0.34,0.34,3300
TNRG.OB,02-Jul-2021,0.1995,0.2,0.1645,0.197,6100
TNTRQ.OB,02-Jul-2021,0.0442,0.05,0.0412,0.05,14000
TNYBF.OB,02-Jul-2021,0.273,0.2896,0.2683,0.2882,57900
TNYYF.OB,02-Jul-2021,0.955,0.955,0.955,0.955,500
TOBAF.OB,02-Jul-2021,2.6533,2.665,2.53,2.6,45100
TOELF.OB,02-Jul-2021,429.224,434.3299,419.192,419.192,100
TOELY.OB,02-Jul-2021,105.56,106.08,104.5,105.775,37400
TOEYF.OB,02-Jul-2021,0.0154,0.0169,0.0154,0.0169,53800
TOFB.OB,02-Jul-2021,3.1,3.185,3.1,3.185,500
TOGL.OB,02-Jul-2021,7.1,7.1,7,7,200
TOGOF.OB,02-Jul-2021,0.0528,0.0528,0.0528,0.0528,2300
TOITF.OB,02-Jul-2021,74.7281,74.7281,74.35,74.375,5000
TOKTY.OB,02-Jul-2021,3.58,3.58,3.51,3.51,500
TOLWF.OB,02-Jul-2021,2.1549,2.1625,2.1549,2.16,2500
TOMDF.OB,02-Jul-2021,0.035,0.0369,0.033,0.033,1654100
TONR.OB,02-Jul-2021,0.0007,0.001,0.0007,0.0009,181509700
TOPCF.OB,02-Jul-2021,14.64,14.72,14.3,14.7,800
TOPPY.OB,02-Jul-2021,7.88,7.88,7.88,7.88,800
TORVF.OB,02-Jul-2021,0.1564,0.1575,0.1428,0.1542,4900
TORXF.OB,02-Jul-2021,11.42,11.89,11.42,11.89,21700
TOSYY.OB,02-Jul-2021,22.42,22.42,22.0238,22.28,34600
TOTDY.OB,02-Jul-2021,51.451,51.451,51.451,51.451,600
TOWTF.OB,02-Jul-2021,0.08,0.0852,0.08,0.0852,14100
TOYOF.OB,02-Jul-2021,89.084,89.084,89,89,700
TPCS.OB,02-Jul-2021,1.245,1.25,1.24,1.25,8500
TPGVF.OB,02-Jul-2021,1.04,1.04,1.04,1.04,100
TPII.OB,02-Jul-2021,0.0689,0.0689,0.0668,0.067,114700
TPNEF.OB,02-Jul-2021,0.02,0.02,0.02,0.02,17500
TPPRF.OB,02-Jul-2021,0.0484,0.0522,0.0484,0.0494,1600
TPRFF.OB,02-Jul-2021,4.16,4.2,4.16,4.185,8800
TPRKY.OB,02-Jul-2021,24.1795,24.1795,24.1795,24.1795,500
TPRXF.OB,02-Jul-2021,2.55,2.55,2.41,2.41,6800
TPTW.OB,02-Jul-2021,0.0143,0.015,0.0127,0.015,2994100
TQLB.OB,02-Jul-2021,0.185,0.195,0.18,0.19,78300
TRBMF.OB,02-Jul-2021,0.6396,0.6396,0.6083,0.6083,17400
TRCK.OB,02-Jul-2021,2.65,2.65,2.65,2.65,100
TRCNF.OB,02-Jul-2021,0.005,0.005,0.005,0.005,105900
TRCY.OB,02-Jul-2021,23,23.35,23,23.2,3700
TREN.OB,02-Jul-2021,2.7,3,2.7,3,3200
TREVF.OB,02-Jul-2021,0.1749,0.1816,0.17,0.1816,29700
TRGGF.OB,02-Jul-2021,0.226,0.226,0.2077,0.22,40400
TRII.OB,02-Jul-2021,0.0045,0.0045,0.0034,0.0045,990000
TRIQ.OB,02-Jul-2021,1.15,1.48,1.14,1.48,3000
TRKNY.OB,02-Jul-2021,1.51,1.51,1.51,1.51,1000
TRKR.OB,02-Jul-2021,0.005,0.005,0.005,0.005,91000
TRLFF.OB,02-Jul-2021,0.3,0.31,0.2975,0.3,13000
TRMLF.OB,02-Jul-2021,28.98,29.125,28.4,28.85,19500
TRMND.OB,02-Jul-2021,0.4975,0.55,0.4786,0.5031,35600
TRNF.OB,02-Jul-2021,6.95,6.99,6.8,6.99,18100
TRNLY.OB,02-Jul-2021,3.99,3.99,3.99,3.99,100
TRNX.OB,02-Jul-2021,0.031,0.032,0.025,0.0285,591200
TROG.OB,02-Jul-2021,0.035,0.035,0.035,0.035,1500
TROUF.OB,02-Jul-2021,0.1462,0.15,0.1453,0.15,77300
TRRE.OB,02-Jul-2021,0.08,0.108,0.08,0.0966,60800
TRRFF.OB,02-Jul-2021,0.087,0.087,0.087,0.087,3000
TRRSF.OB,02-Jul-2021,133.75,139.473,133.75,139.473,1000
TRRXF.OB,02-Jul-2021,0.0403,0.055,0.0364,0.0364,36400
TRSI.OB,02-Jul-2021,0.0072,0.0074,0.0068,0.0072,1032200
TRSSF.OB,02-Jul-2021,11.3,11.7,10.745,11.4,100400
TRSWF.OB,02-Jul-2021,16.8844,17.14,16.8149,17.055,10700
TRTC.OB,02-Jul-2021,0.28,0.28,0.272,0.2749,409900
TRUA.OB,02-Jul-2021,0.016,0.016,0.016,0.016,100
TRUFF.OB,02-Jul-2021,0.24,0.2554,0.2395,0.2483,205000
TRUIF.OB,02-Jul-2021,0.22,0.2278,0.18,0.2109,158800
TRUL.OB,02-Jul-2021,2.6,2.6,2.6,2.6,500
TRUMF.OB,02-Jul-2021,39.454,40.59,39.454,40.59,1500
TRUMY.OB,02-Jul-2021,40.58,40.75,39.7897,40.75,22000
TRVR.OB,02-Jul-2021,39.25,39.4,39.25,39.4,200
TRYIF.OB,02-Jul-2021,6.89,6.89,6.89,6.89,5000
TRYIY.OB,02-Jul-2021,13.335,13.39,13.32,13.32,13100
TRYPF.OB,02-Jul-2021,0.4299,0.4408,0.4172,0.43,74200
TSBA.OB,02-Jul-2021,11.85,11.85,11.85,11.85,100
TSCC.OB,02-Jul-2021,0.011,0.015,0.011,0.015,27000
TSCDF.OB,02-Jul-2021,3.0955,3.0955,3.0955,3.0955,1900
TSCDY.OB,02-Jul-2021,9.38,9.43,9.32,9.4,182700
TSGTF.OB,02-Jul-2021,10.4,10.4,10.4,10.4,59000
TSGTY.OB,02-Jul-2021,52.83,53.04,52.175,52.5,1200
TSGZF.OB,02-Jul-2021,0.2139,0.2206,0.2139,0.214,77800
TSKFF.OB,02-Jul-2021,0.2761,0.2761,0.2758,0.2758,5500
TSLVF.OB,02-Jul-2021,1.145,1.1823,1.12,1.16,218100
TSOI.OB,02-Jul-2021,0.0403,0.0405,0.0371,0.04,5626600
TSPG.OB,02-Jul-2021,0.01,0.0105,0.0096,0.0097,1714300
TSRMF.OB,02-Jul-2021,0.716,0.716,0.71,0.71,14200
TSRYY.OB,02-Jul-2021,8.55,8.72,8.55,8.56,19900
TSSLF.OB,02-Jul-2021,0.92,0.92,0.92,0.92,1200
TSSP.OB,02-Jul-2021,0.0008,0.0009,0.0008,0.0009,166800
TSUKY.OB,02-Jul-2021,37.5,39.84,37.5,39.84,400
TSYHY.OB,02-Jul-2021,20.3,21.345,20.3,21.15,1700
TTCM.OB,02-Jul-2021,0.0082,0.0082,0.008,0.008,3939700
TTCNF.OB,02-Jul-2021,2.99,2.99,2.99,2.99,2700
TTDKY.OB,02-Jul-2021,119.88,120.66,119.52,120.14,5500
TTFNF.OB,02-Jul-2021,46.45,46.45,46.45,46.45,600
TTGPF.OB,02-Jul-2021,3.55,3.55,3.55,3.55,500
TTMZF.OB,02-Jul-2021,0.0641,0.0641,0.0641,0.0641,7000
TTNDY.OB,02-Jul-2021,84.741,86.8,84.741,86.39,32000
TTPPF.OB,02-Jul-2021,3.14,3.2,3.14,3.2,2400
TTRHF.OB,02-Jul-2021,0.0027,0.0027,0.0027,0.0027,1000
TTSI.OB,02-Jul-2021,0.01,0.0128,0.008,0.0128,115900
TTTPF.OB,02-Jul-2021,9.75,9.75,9.75,9.75,500
TTTSF.OB,02-Jul-2021,0.057,0.057,0.0553,0.0553,26000
TUERF.OB,02-Jul-2021,5.9817,6.0063,5.9817,5.9982,3400
TUIFY.OB,02-Jul-2021,2.57,2.57,2.55,2.55,1900
TURV.OB,02-Jul-2021,0.4501,0.5195,0.4501,0.4989,493000
TUWLF.OB,02-Jul-2021,0.85,0.85,0.85,0.85,1400
TUWOY.OB,02-Jul-2021,0.3644,0.3691,0.36,0.3632,24200
TVBCY.OB,02-Jul-2021,1.8,1.8,1.8,1.8,200
TVIPF.OB,02-Jul-2021,0.0411,0.0412,0.0411,0.0412,9900
TVIXF.OB,02-Jul-2021,8.25,8.7,8,8.7,7900
TVOG.OB,02-Jul-2021,0.0134,0.0135,0.0134,0.0134,53000
TVPC.OB,02-Jul-2021,0.235,0.2499,0.22,0.2499,10400
TWAC.OB,02-Jul-2021,200,200,200,200,100
TWER.OB,02-Jul-2021,0.6001,0.6001,0.38,0.38,4700
TWMIF.OB,02-Jul-2021,1.14,1.18,1.1294,1.1618,110000
TWOH.OB,02-Jul-2021,0.0023,0.0023,0.002,0.002,52855100
TXCCQ.OB,02-Jul-2021,0.0031,0.0069,0.0031,0.0065,4000
TXGE.OB,02-Jul-2021,0.034,0.0367,0.0317,0.0317,11700
TXLZF.OB,02-Jul-2021,1.08,1.09,1,1.05,13200
TXMC.OB,02-Jul-2021,0.0001,0.0001,0.0001,0.0001,2763400
TXTM.OB,02-Jul-2021,0.0017,0.0018,0.0015,0.0017,273998600
TYCMY.OB,02-Jul-2021,40.125,40.125,40.125,40.125,600
TYHJF.OB,02-Jul-2021,0.0035,0.004,0.0022,0.003,950400
TYIDY.OB,02-Jul-2021,88.89,88.89,86.415,86.415,400
TYOYY.OB,02-Jul-2021,201.25,201.25,198,199,100
TYTN.OB,02-Jul-2021,0.029,0.0348,0.0267,0.0307,413500
TZPC.OB,02-Jul-2021,0.216,0.216,0.216,0.216,1500
TZROP.OB,02-Jul-2021,6.5,6.7,6.27,6.42,7000
UAMA.OB,02-Jul-2021,0.0205,0.0205,0.0205,0.0205,2400
UAMM.OB,02-Jul-2021,0.029,0.029,0.0241,0.0264,1121300
UAPC.OB,02-Jul-2021,0.0541,0.0595,0.0536,0.059,564500
