Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
IOR,Income Opportunity Realty Investors Inc. Common Stock,$12.41,0.00,0.00%,51730018.00,United States,,18,Finance,Diversified Financial Services
ISDR,Issuer Direct Corporation Common Stock,$26.24,0.12,0.459%,98819184.00,United States,,11951,Technology,EDP Services
ISR,IsoRay Inc. Common Stock (DE),$0.8658,0.0152,1.787%,122480627.00,United States,,899998,Health Care,Medical/Dental Instruments
ITP,IT Tech Packaging Inc. Common Stock,$0.5121,0.0021,0.412%,50723454.00,China,,1822000,Basic Industries,Paper
ITRG,Integra Resources Corp. Common Shares,$3.31,-0.04,-1.194%,181431103.00,,,70164,,
JOB,GEE Group Inc. Common Stock,$0.615,-0.0015,-0.243%,69802780.00,United States,,3301510,Technology,Diversified Commercial Services
KIQ,Kelso Technologies Inc Ordinary Shares,$0.7236,-0.0133,-1.805%,39269834.00,Canada,,567509,,
KLR,Kaleyra Inc. Common Stock,$12.32,-0.27,-2.145%,385706380.00,United States,2018,477404,Technology,Internet and Information Services
KULR,KULR Technology Group Inc. Common Stock,$2.46,-0.16,-6.107%,231848112.00,United States,,577826,Capital Goods,Electrical Products
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$2.87,0.06,2.135%,430446466.00,United States,,1081885,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,$26.69,1.09,4.258%,369716152.00,United States,2014,78641,,
LGL,LGL Group Inc. (The) Common Stock,$10.90,-0.32,-2.852%,57467024.00,United States,,161643,Capital Goods,Industrial Machinery/Components
LNG,Cheniere Energy Inc. Common Stock,$88.64,0.64,0.727%,22473549020.00,United States,,1145217,Public Utilities,Oil/Gas Transmission
LODE,Comstock Mining Inc. Common Stock,$4.08,-0.13,-3.088%,173218501.00,United States,,571533,Finance,Real Estate
LOV,Spark Networks Inc. American Depositary Shares (each representing one-tenth of an Ordinary Share),$5.39,0.09,1.698%,140446637.00,United States,2017,74133,Miscellaneous,Other Consumer Services
LSF,Laird Superfood Inc. Common Stock,$31.85,0.07,0.22%,286360292.00,,2020,48909,Consumer Non-Durables,Specialty Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$22.73,-0.03,-0.132%,651206885.00,United Kingdom,2012,71703,Capital Goods,Metal Fabrications
MAG,MAG Silver Corporation Ordinary Shares,$23.43,-0.18,-0.762%,2222099888.00,Canada,,367441,Basic Industries,Precious Metals
MCF,Contango Oil & Gas Company Common Stock (TX),$4.53,0.07,1.57%,910853474.00,United States,,1866531,Energy,Oil & Gas Production
MHH,Mastech Digital Inc Common Stock,$15.79,0.11,0.702%,180496311.00,United States,,24107,Consumer Services,Professional Services
MLSS,Milestone Scientific Inc. Common Stock,$2.18,-0.01,-0.457%,145526325.00,United States,2015,174062,Health Care,Industrial Specialties
MMX,Maverix Metals Inc. Common Shares,$5.60,-0.29,-4.924%,790813990.00,,,1930431,Basic Industries,Precious Metals
MSN,Emerson Radio Corporation Common Stock,$1.16,-0.06,-4.918%,24409476.00,United States,,158413,Consumer Non-Durables,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$10.46,0.18,1.751%,442489254.00,,,413996,Basic Industries,Precious Metals
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.8738,0.0148,1.723%,178503335.00,United States,2017,663358,Health Care,Major Pharmaceuticals
MXC,Mexco Energy Corporation Common Stock,$8.845,0.335,3.937%,18323886.00,United States,,4202,Energy,Oil & Gas Production
MYO,Myomo Inc. Common Stock,$11.33,0.58,5.395%,63493581.00,United States,2017,73283,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.56,-0.0062,-1.095%,287224111.00,Canada,,4107864,Basic Industries,Precious Metals
NAVB,Navidea Biopharmaceuticals Inc. Common Stock,$1.97,0.01,0.51%,57180062.00,United States,,49950,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NBA,New Beginnings Acquisition Corp. Common Stock,$10.08,0.07,0.699%,150393600.00,,2020,18239,,
